Time (s),Sensor 1,Sensor 2,Sensor 3,Sensor 4
1.792227029800415,23,36,18,15
1.9379470348358154,27,36,18,13
2.0889031887054443,28,36,19,13
2.239950180053711,55,36,18,17
2.3907833099365234,65,36,16,19
2.541745185852051,26,36,16,14
2.692458152770996,22,37,17,12
2.843616008758545,26,37,18,14
2.9945120811462402,23,36,15,12
3.1453869342803955,21,36,17,13
3.2966229915618896,21,35,15,12
3.447460174560547,22,36,17,13
3.599348306655884,20,35,22,13
3.7492871284484863,23,36,20,12
3.9002232551574707,22,36,19,14
4.051192045211792,21,36,18,14
4.202064037322998,26,35,16,13
4.35314416885376,26,36,19,15
4.503787994384766,30,35,17,14
4.65487813949585,30,34,16,14
4.805799245834351,27,37,16,14
4.9568932056427,21,36,16,13
5.107943058013916,22,36,16,13
5.258716106414795,25,37,16,14
5.409642219543457,23,35,16,15
5.560686111450195,20,37,16,15
5.71170711517334,21,36,16,14
5.862455129623413,22,36,26,14
6.013594150543213,21,36,18,14
6.164246082305908,21,36,19,14
6.314913034439087,19,36,16,14
6.466318130493164,21,36,17,14
6.6171181201934814,22,36,20,13
6.768025159835815,29,36,18,14
6.919265031814575,18,37,17,14
7.06998610496521,18,36,21,13
7.220795154571533,18,37,17,13
7.371948003768921,17,36,20,14
7.522783994674683,17,36,18,14
7.673756122589111,134,36,34,25
7.824815034866333,78,36,108,69
7.9758460521698,52,36,311,186
8.127024173736572,18,36,224,137
8.278077125549316,18,37,324,196
8.429133176803589,17,36,208,136
8.580065965652466,17,36,223,101
8.73162317276001,17,36,100,62
8.882132291793823,18,37,177,512
9.032796144485474,17,36,55,45
9.18369722366333,17,36,58,23
9.334840059280396,17,35,18,15
9.485802173614502,17,36,18,17
9.636662006378174,17,35,32,16
9.78755497932434,18,36,17,16
9.938432931900024,18,36,17,14
10.08951711654663,17,36,21,14
10.240426301956177,17,35,27,13
10.391478061676025,18,36,18,13
10.542206287384033,694,36,17,14
10.693440914154053,262,36,29,14
10.844444274902344,25,36,16,14
10.995229244232178,18,36,32,14
11.146217107772827,18,36,18,13
11.297263145446777,18,36,17,13
11.44798731803894,18,36,21,14
11.59925127029419,18,36,17,14
11.74987006187439,17,36,18,14
11.900938272476196,17,36,16,14
12.051644086837769,17,36,17,14
12.20267915725708,18,36,27,13
12.353790283203125,18,36,17,13
12.504832983016968,696,35,16,14
12.65571928024292,157,35,37,13
12.806357145309448,22,36,17,14
12.957594156265259,18,35,15,13
13.108405113220215,18,35,16,14
13.259602069854736,691,35,17,13
13.410571098327637,423,35,16,13
13.56152606010437,214,36,17,13
13.712391138076782,114,35,17,13
13.863425016403198,532,36,17,13
14.014469146728516,279,35,18,13
14.165533304214478,128,36,18,14
14.316273212432861,181,35,16,14
14.467283248901367,39,35,16,13
14.618197917938232,32,35,18,15
14.769371032714844,178,35,17,14
14.920074224472046,74,35,16,13
15.071113109588623,71,35,16,14
15.22166395187378,70,36,17,13
15.426049947738647,61,36,17,15
15.62827205657959,32,35,17,14
15.898889303207397,52,36,17,13
16.075209140777588,62,35,16,14
16.26651120185852,34,36,17,14
16.46158719062805,20,35,16,13
16.73635721206665,54,36,16,14
16.92027735710144,26,36,17,14
17.096549034118652,21,35,16,13
17.311872005462646,19,36,17,14
17.496746301651,20,35,16,14
17.72649908065796,20,36,17,13
18.00921607017517,20,36,16,14
18.266704082489014,21,36,16,14
18.450155019760132,34,35,17,14
18.6446270942688,20,36,16,15
18.789106130599976,20,36,17,14
18.922080039978027,94,36,17,15
19.026412963867188,53,35,16,17
19.166434049606323,30,36,17,14
19.276875019073486,21,36,16,14
19.38789129257202,19,36,17,16
19.484007120132446,29,36,17,14
19.58203911781311,29,35,16,14
19.693905115127563,20,36,16,13
19.786153316497803,22,36,24,14
19.87688708305359,36,36,34,13
19.988551139831543,41,35,16,13
20.087610006332397,45,35,41,16
20.181706190109253,128,35,184,195
20.323045015335083,193,36,82,69
20.418760299682617,308,35,84,50
20.512872219085693,177,36,94,62
20.633352279663086,156,36,95,50
20.728683948516846,115,35,78,64
20.822675228118896,138,36,122,105
20.937584161758423,131,35,183,128
21.032878160476685,98,36,124,83
21.123605966567993,135,36,130,96
21.26073694229126,308,36,232,132
21.411784172058105,505,35,195,136
21.562796115875244,41,35,319,161
21.713674306869507,17,35,138,139
21.864785194396973,17,35,116,72
22.015597105026245,17,35,52,42
22.166465044021606,17,36,23,39
22.3175311088562,18,36,20,33
22.46860909461975,148,36,21,29
22.619436979293823,84,35,18,22
22.77050518989563,117,35,17,18
22.921431064605713,97,36,97,70
23.072479248046875,129,35,161,95
23.22364902496338,117,36,286,144
23.374853134155273,114,36,205,123
23.525315046310425,75,35,209,96
23.676830291748047,79,36,150,89
23.82744812965393,95,36,159,78
23.978654146194458,85,35,189,94
24.129523277282715,77,35,68,34
24.280425310134888,213,35,32,67
24.431729078292847,180,35,23,51
24.582512140274048,149,35,20,25
24.733554124832153,95,35,19,25
24.884176015853882,34,35,25,36
25.03523015975952,78,35,26,36
25.18630814552307,120,35,19,21
25.337403059005737,110,35,19,226
25.488136291503906,83,35,19,24
25.63913321495056,29,36,19,22
25.790102005004883,21,35,18,16
25.941060066223145,22,36,18,15
26.0919451713562,21,35,19,19
26.242746114730835,25,36,18,17
26.39388108253479,25,36,17,14
26.545006036758423,192,35,17,18
26.69541025161743,163,35,20,22
26.846751928329468,42,35,20,42
26.997486114501953,30,35,19,44
27.14847993850708,32,35,23,42
27.299548149108887,22,36,20,51
27.450436115264893,18,36,20,23
27.601304054260254,30,35,19,45
27.752310037612915,21,35,21,28
27.903393030166626,38,35,19,24
28.05423092842102,30,35,19,30
28.2052001953125,24,36,19,26
28.35605216026306,21,35,17,15
28.50733518600464,25,36,16,25
28.657854318618774,19,35,20,21
28.808983087539673,37,35,17,18
28.95994997024536,33,35,20,19
29.110884189605713,29,35,16,22
29.26187014579773,21,35,17,18
29.412666082382202,21,35,17,24
29.563905000686646,21,35,18,22
29.714613914489746,26,35,18,17
29.86548924446106,44,35,25,22
30.01643705368042,31,35,19,24
30.167354106903076,23,35,16,15
30.31841015815735,50,36,23,21
30.4692280292511,198,35,18,20
30.620564222335815,125,36,18,26
30.77143120765686,25,35,18,18
30.922178030014038,48,35,18,24
