Seconds Elapsed,Sensor Value
1.78,20
1.88,2
1.98,1
2.08,363
2.18,448
2.29,48
2.38,27
2.48,617
2.59,51
2.69,24
2.78,2
2.88,0
2.98,0
3.08,0
3.18,156
3.28,6
3.38,0
3.49,0
3.59,0
3.69,205
3.79,8
3.89,0
3.99,1
4.09,4
4.19,387
4.29,6
4.39,0
4.49,2
4.59,6
4.69,385
4.79,381
4.89,0
4.99,4
5.09,0
5.19,54
5.29,1
5.39,0
5.49,19
5.59,26
5.69,1
5.79,3
5.89,71
5.99,329
6.09,1
6.19,2
6.29,55
6.39,195
6.49,1
6.59,0
6.69,0
6.79,154
6.89,1
6.99,0
7.09,0
7.19,103
7.29,1
7.39,0
7.49,0
7.6,4
7.7,1
7.8,0
7.9,0
8.0,6
8.1,0
8.2,0
8.3,1
8.4,4
8.5,1
8.6,0
8.7,0
8.8,10
8.9,1
9.0,0
9.26,273
9.3,4
9.3,1
9.4,0
9.55,385
9.61,382
9.71,1
9.83,2
9.92,385
10.0,6
10.1,2
10.2,3
10.3,334
10.4,163
10.5,3
10.6,7
10.7,171
10.81,152
10.91,3
11.0,5
11.1,46
11.2,47
11.3,1
11.4,1
11.5,32
11.61,32
11.71,0
11.81,286
11.91,123
12.01,1
12.11,1
12.21,179
12.31,27
12.41,1
12.51,0
12.61,0
12.71,1
12.81,0
12.91,0
13.01,0
13.11,0
13.21,0
13.31,1
13.41,4
13.51,0
13.61,106
13.71,41
13.81,1
13.91,0
14.01,21
14.11,0
14.21,1
14.31,0
14.41,1
14.51,4
14.61,1
14.71,0
14.81,7
14.91,0
15.01,0
15.11,218
15.21,2
15.31,1
15.6,0
15.6,382
15.62,0
15.72,0
15.82,1
15.92,1
16.02,0
16.12,3
16.22,0
16.32,45
16.42,0
16.52,1
16.62,41
16.72,381
16.82,2
16.92,1
17.03,6
17.19,442
17.23,7
17.32,373
17.42,0
17.52,57
17.63,76
17.72,1
17.82,0
17.92,1
18.02,107
18.12,140
18.22,2
18.32,0
18.42,0
18.53,42
18.62,77
18.82,2
18.82,0
18.92,0
19.02,0
19.12,1
19.22,2
19.32,14
19.42,9
19.52,5
19.62,3
19.73,0
19.83,16
19.93,27
20.03,2
20.13,0
20.23,0
20.33,1
20.43,8
20.53,1
20.63,0
20.75,387
20.83,28
20.93,1
21.03,0
21.13,249
21.23,316
21.33,1
21.43,0
21.53,386
21.63,277
21.73,1
21.83,3
21.93,1
22.06,0
22.13,0
22.24,117
22.34,0
22.43,1
22.53,62
22.66,263
22.73,3
22.85,7
22.94,55
23.03,51
23.13,1
23.23,0
23.33,229
23.43,78
23.53,40
23.64,89
23.74,65
23.84,44
23.94,98
24.04,239
24.14,7
24.24,10
24.34,1
24.44,8
24.54,0
24.64,16
24.74,0
24.84,20
24.94,0
25.04,4
25.14,0
25.24,0
25.34,0
25.44,0
25.56,0
25.64,0
25.74,0
25.84,5
25.94,0
26.04,7
26.14,0
26.24,5
26.34,8
26.44,372
26.54,0
26.64,0
26.74,0
26.86,110
26.94,1
27.04,0
27.17,0
27.24,0
27.34,0
27.44,288
27.54,2
27.64,0
27.74,1
27.84,382
27.95,1
28.06,1
28.15,7
28.25,0
28.35,1
28.45,1
28.55,349
28.65,381
28.75,0
28.85,2
28.95,6
29.05,135
29.15,111
29.25,3
29.35,1
29.45,89
29.55,42
29.65,2
29.75,1
29.86,58
29.95,31
30.05,1
30.15,0
30.25,12
30.35,13
30.46,0
30.55,0
30.65,148
30.75,0
30.85,0
30.95,0
31.05,0
31.15,0
31.26,0
31.35,4
31.45,3
31.55,0
31.66,132
31.75,31
31.86,0
31.96,0
32.06,146
32.16,31
32.26,1
32.36,0
32.46,386
32.56,21
32.66,1
32.76,0
32.86,345
32.96,383
33.06,0
33.16,0
33.26,0
33.36,383
33.46,0
33.56,0
33.67,175
33.76,1
33.86,1
34.02,138
34.09,120
34.16,3
34.26,6
34.36,46
34.46,1
34.56,2
34.66,6
34.76,5
34.86,3
34.96,8
35.06,382
35.17,3
35.26,5
35.36,17
35.46,1
35.56,2
35.67,1
35.77,295
35.87,2
36.02,0
36.07,10
36.17,18
36.27,0
36.37,100
36.47,133
36.57,1
36.67,0
36.77,0
36.87,4
36.97,0
37.07,158
37.17,36
37.27,0
37.37,59
37.48,37
37.57,0
37.67,0
37.77,5
37.87,1
37.97,0
38.07,12
38.17,0
38.27,0
38.37,27
38.47,12
38.57,0
38.67,0
38.77,4
38.87,0
38.97,0
39.07,172
39.17,299
39.27,1
39.37,0
39.47,140
39.57,0
39.67,0
39.87,119
39.88,0
39.98,2
40.08,53
40.18,169
40.28,3
40.38,2
40.48,29
40.61,4
40.68,3
40.78,2
40.88,35
40.98,384
41.08,2
41.21,1
41.36,3
41.38,72
41.48,180
41.58,2
41.68,0
41.78,0
41.88,44
41.98,65
42.08,1
42.2,0
42.28,67
42.38,0
42.48,14
42.58,1
42.68,0
42.78,256
42.88,31
42.98,408
43.08,170
43.18,259
43.28,772
43.38,36
43.48,0
43.59,763
43.69,0
43.79,0
43.89,77
43.99,111
44.09,205
44.19,26
44.29,475
44.39,19
44.49,21
44.59,60
44.69,112
44.79,690
44.89,71
44.99,7
45.09,57
45.19,10
45.29,48
45.39,178
45.49,0
45.59,10
45.69,0
45.79,7
45.89,0
45.99,388
46.09,0
46.19,53
46.29,0
46.39,25
46.49,1
46.61,4
46.69,0
46.79,1
46.89,0
46.99,0
47.09,0
47.19,0
47.29,1
47.4,36
47.5,1
47.6,83
47.7,0
47.8,0
47.9,0
48.0,166
48.1,1
48.2,4
48.3,388
48.4,2
48.5,358
48.6,38
48.7,0
48.8,0
48.9,386
49.0,39
49.1,306
49.2,0
49.3,16
49.4,9
49.55,12
49.6,0
49.71,11
49.8,0
49.9,18
50.0,5
50.1,11
50.2,20
50.3,121
50.4,2
50.5,6
50.6,9
50.7,2
50.8,0
50.9,5
51.0,4
51.1,2
51.2,1
51.3,4
51.41,8
51.5,2
51.61,5
51.71,215
51.81,2
51.91,5
52.01,204
52.11,30
52.21,2
52.31,0
52.41,19
52.51,43
52.61,18
52.71,0
52.81,26
52.91,7
53.01,93
53.11,5
53.21,6
53.31,137
53.41,13
53.51,14
53.61,1
53.71,80
53.81,0
53.91,384
54.01,0
54.11,76
54.21,0
54.31,0
54.41,219
54.51,0
54.61,0
54.71,1
54.81,11
54.91,419
55.01,0
55.11,5
55.21,4
55.31,0
55.42,386
