Seconds Elapsed,Sensor Value
1.78,694
1.9,397
2.02,197
2.11,61
2.2,0
2.3,0
2.4,0
2.48,0
2.59,435
2.68,746
2.78,526
2.89,385
2.98,284
3.08,214
3.2,168
3.29,133
3.38,106
3.49,86
3.59,68
3.69,55
3.8,43
3.89,36
3.99,29
4.11,23
4.2,18
4.29,13
4.4,10
4.5,7
4.59,2
4.69,0
4.79,0
4.89,0
4.99,0
5.09,0
5.19,0
5.31,6
5.4,325
5.49,646
5.61,652
5.7,328
5.79,83
5.89,179
5.99,94
6.09,107
6.2,405
6.29,696
6.39,904
6.5,932
6.59,929
6.69,926
6.8,924
6.89,889
6.99,853
7.1,821
7.19,792
7.29,765
7.41,743
7.49,724
7.59,707
7.71,691
7.8,675
7.9,658
8.01,637
8.1,615
8.2,598
8.31,584
8.4,569
8.5,559
8.66,551
8.75,543
8.83,534
8.95,521
9.03,503
9.11,486
9.21,473
9.3,462
9.4,451
9.51,445
9.6,438
9.7,429
9.81,419
9.9,405
10,397
10.11,384
10.2,365
10.3,352
10.41,347
10.5,346
10.6,336
10.72,303
10.8,216
10.9,128
11.01,54
11.1,1
11.2,0
11.31,0
11.4,0
11.5,0
11.61,0
11.71,0
11.81,0
11.91,0
12.01,0
12.11,0
12.22,0
12.31,0
12.41,0
12.52,0
12.61,0
12.71,0
12.83,0
12.93,0
13.02,0
13.12,0
13.22,0
13.31,0
13.42,0
13.51,0
13.61,0
13.72,0
13.81,0
13.91,0
14.02,0
14.11,0
14.21,0
14.32,0
14.41,0
14.51,0
14.62,0
14.71,0
14.81,0
14.94,0
15.02,0
15.11,0
15.26,0
15.39,0
15.49,0
15.67,0
15.89,0
16.04,0
16.18,0
16.3,0
16.4,0
16.5,0
16.58,0
16.68,0
16.77,0
16.87,0
16.99,0
17.07,0
17.17,0
17.27,0
17.37,12
17.47,1023
17.57,916
17.67,910
17.77,919
17.87,614
17.97,379
18.07,206
18.17,78
18.27,0
18.37,0
18.47,0
18.57,0
18.67,0
18.77,0
18.87,0
18.97,0
19.07,0
19.17,0
19.27,0
19.37,0
19.47,0
19.57,0
19.67,0
19.77,0
19.87,0
19.97,0
20.07,0
20.17,0
20.29,0
20.37,0
20.47,0
20.57,0
20.67,0
20.77,0
20.87,0
20.97,0
21.07,0
21.17,0
21.27,0
21.37,0
21.48,0
21.57,0
21.68,0
21.81,0
21.89,0
21.98,0
22.07,0
22.17,0
22.27,0
22.37,0
22.47,0
22.57,0
22.67,0
22.77,0
22.87,0
22.97,0
23.07,0
23.17,0
23.27,0
23.37,0
23.47,0
23.57,0
23.67,0
23.77,0
23.87,0
23.97,0
24.07,0
24.17,0
24.27,0
24.37,113
24.47,513
24.57,1015
24.67,1004
24.77,998
24.87,985
24.97,957
25.07,941
25.17,941
25.27,945
25.37,944
25.47,947
25.57,942
25.67,935
25.77,931
25.87,918
25.97,672
26.07,471
26.17,312
26.27,189
26.37,96
26.47,26
26.57,0
26.67,0
26.77,0
26.87,0
26.97,0
27.07,0
27.17,0
27.27,0
27.37,0
27.47,0
27.57,0
27.67,0
27.77,0
27.87,0
27.97,0
28.08,0
28.17,0
28.27,0
28.37,0
28.47,0
28.57,0
28.67,0
28.77,0
28.87,0
28.97,0
29.07,0
29.17,0
29.28,0
29.37,0
29.47,0
29.57,0
29.67,0
29.77,0
29.87,0
29.97,0
30.07,0
30.17,0
30.27,0
30.37,0
30.47,0
30.57,0
30.67,0
30.77,0
30.87,0
30.97,0
31.07,0
31.17,0
31.27,0
31.37,0
31.47,0
31.57,0
31.67,0
31.77,0
31.87,0
31.97,0
32.07,0
32.17,0
32.27,0
32.37,0
32.47,0
32.57,0
32.67,0
32.77,0
32.87,0
32.97,0
33.07,0
33.17,0
33.27,0
33.37,0
33.47,0
33.57,0
33.67,0
33.77,0
33.87,0
33.97,0
34.07,0
34.19,0
34.28,0
34.37,0
34.47,0
34.57,0
34.67,0
34.77,0
34.87,0
34.97,94
35.07,173
35.17,28
35.27,78
35.37,154
35.47,254
35.57,218
35.67,940
35.77,518
35.87,302
35.97,178
36.07,104
36.17,60
36.27,107
36.37,148
36.47,36
36.57,1023
36.67,1005
36.77,1000
36.87,1001
36.97,997
37.07,901
37.17,584
37.27,445
37.37,361
37.47,260
37.57,143
37.67,47
37.77,0
37.87,0
37.97,0
38.07,0
38.17,0
38.27,0
38.37,0
38.47,0
38.57,0
38.67,0
38.77,0
38.87,0
38.97,0
39.07,0
39.17,0
39.27,14
39.37,480
39.47,973
39.57,972
39.67,962
39.77,949
39.87,859
39.97,769
40.07,930
40.17,285
40.27,698
40.37,521
40.47,366
40.57,711
40.67,571
40.77,431
40.87,373
40.97,275
41.07,156
41.17,60
41.27,0
41.37,0
41.47,0
41.57,0
41.67,0
41.77,0
41.87,0
41.97,0
42.07,0
42.17,0
42.27,0
42.37,164
42.47,981
42.57,969
42.68,959
42.94,951
43.05,941
43.15,931
43.26,920
43.36,915
43.47,910
43.57,902
43.67,897
43.77,798
43.87,610
43.97,584
44.07,552
44.17,523
44.27,494
44.37,466
44.47,437
44.57,408
44.67,381
44.77,353
44.87,325
44.97,298
